시점,계,계,경기도,경기도,강원도,강원도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주도,제주도
시점,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어
2007.02,71578,3885,506,-,4561,0,3290,-,1611,0,8935,17,6036,1,22254,66,4165,20
2007.03,69944,7108,455,-,2995,0,4076,0,2391,0,9107,24,7852,7,17435,13,3422,40
2007.04,65705,8182,312,-,2950,0,4380,-,3040,0,10097,14,8047,0,12084,98,4218,30
2007.05,59777,712,323,-,3259,0,5123,-,3141,-,11532,6,10333,6,11595,75,4221,195
2007.06,66570,4158,407,-,5254,0,4411,0,4032,-,14530,0,9553,7,10258,159,4944,270
2007.07,71332,4272,506,-,2421,0,9069,60,4607,-,12778,13,4416,12,18987,54,6208,270
2007.08,80521,7826,484,-,1492,108,7626,46,2757,-,12786,118,4925,137,19514,374,8907,429
2007.09,87265,13093,720,-,5163,17,7136,336,3085,0,13939,355,7344,82,17443,527,5007,316
2007.1,163949,21005,798,-,14735,49,9470,844,3829,0,22424,719,27534,255,24697,628,6201,119
2007.11,147887,43810,1028,-,7698,37,7037,1444,2812,-,17958,676,19634,96,21043,4777,7301,757
2007.12,153159,20734,596,-,7599,10,2930,0,2115,-,20794,406,21648,22,27636,1077,5298,170
2008.01,116661,8275,805,-,3756,1,2337,0,1648,-,14088,24,14219,2,30910,162,3781,43
2008.02,58855,1450,592,-,3169,1,1555,-,1391,-,11072,2,5226,8,14173,0,7176,9
2008.03,82575,3046,430,-,2252,0,2437,-,1493,-,20580,9,7896,6,16276,11,11407,12
2008.04,59614,1451,580,-,2398,1,3826,-,1540,-,11483,2,9155,2,11082,19,4848,42
2008.05,64850,845,752,-,3076,3,6068,0,1932,-,13550,0,10379,12,11600,86,5117,162
2008.06,64897,4091,646,-,5722,1,6066,1,2338,-,13351,4,5941,55,10710,2478,6747,141
2008.07,89047,6600,743,-,3966,3,5514,0,4001,0,18336,349,4861,110,27107,2046,8118,146
2008.08,83041,10428,555,-,1822,64,6135,115,4685,-,16206,9,6055,1660,23060,707,7303,336
2008.09,120447,22741,895,-,7088,196,8909,120,4695,2,18817,774,16005,3045,20791,1239,7597,385
2008.1,201145,40191,1023,-,9307,304,6448,446,4045,0,24244,1171,43895,2695,31344,3485,8579,982
2008.11,174648,53330,1295,-,7760,839,5102,247,3458,2,22354,1503,23248,894,26334,3382,7861,773
2008.12,169110,34792,1241,-,7832,9,3955,147,3291,3,22183,897,21081,171,30015,1651,6788,334
2009.01,109856,13217,614,-,4491,1,3624,2,4640,1,12820,103,11970,10,25224,285,3867,182
2009.02,85279,16116,328,-,2570,0,3185,-,1447,0,10600,167,8490,11,19929,473,7814,102
2009.03,79636,8491,404,-,2447,0,3494,-,1227,1,12612,69,7410,5,22861,57,5883,65
2009.04,52100,1789,342,-,2673,0,5491,-,1995,0,11124,18,6504,14,8946,96,3509,49
2009.05,69449,7812,443,-,3047,1,8135,-,1922,0,12116,5,10288,39,8835,327,3530,290
2009.06,66640,7151,414,-,5414,17,6170,0,2175,0,14631,4,9359,16,6829,101,4553,378
2009.07,56902,4236,418,-,3876,8,3411,-,3502,-,11424,4,4115,1,14273,47,4014,315
2009.08,84913,14900,806,-,3318,5,10021,62,3269,204,10265,365,3160,2,20198,1605,5574,775
2009.09,154098,19405,1008,-,9911,132,17494,5,5409,70,19493,470,16984,226,25479,2185,8801,925
2009.1,168791,8007,651,-,9486,135,9397,4,4160,21,20629,267,39648,118,20639,222,5101,397
2009.11,142208,9829,601,-,6665,72,5541,0,2400,0,19911,293,22819,38,23150,629,5963,435
2009.12,157094,7007,579,-,8602,2,4649,0,2913,1,17349,493,24939,14,23722,531,5202,460
2010.01,113626,5403,344,-,4068,0,3201,-,2790,0,14027,27,8565,42,36681,181,3029,73
2010.02,64212,2957,464,-,2822,-,3173,-,1562,0,8629,16,3857,1,19352,66,2831,13
2010.03,48503,1431,224,-,3370,0,3409,-,842,0,8095,12,4668,0,15414,4,2465,10
2010.04,48854,498,208,-,3234,-,5331,-,2028,0,10212,9,6205,2,9976,1,3311,22
2010.05,61696,596,475,-,3050,0,12449,0,2051,0,11694,2,7823,0,11148,24,3663,137
2010.06,69750,1733,442,-,4069,0,13208,-,1831,-,15082,0,7524,0,10182,3,4408,146
2010.07,83781,2751,348,-,2927,1,6069,-,3164,-,16516,0,4601,14,26247,39,10251,250
2010.08,73818,4550,517,-,2463,95,7098,-,3029,47,12931,4,4389,177,22940,235,4568,310
2010.09,116399,15218,708,-,7227,163,14330,43,5121,49,17750,55,7527,777,23297,180,7367,477
2010.1,193084,38433,685,-,7888,422,13419,136,3628,253,19634,686,34390,1096,29829,1823,5376,315
2010.11,134966,13654,575,-,7067,268,6332,0,3828,1,21239,223,17083,318,25109,491,7174,383
2010.12,123847,7107,262,-,5633,10,4234,-,2947,0,13696,57,19026,41,23830,143,4189,59
2011.01,106393,7144,239,-,3092,4,3786,-,1950,5,12907,225,11820,5,27038,210,3993,198
2011.02,61758,6182,206,-,3135,-,2664,0,1269,4,8243,67,5343,7,20466,180,2161,50
